path,sha256,text,lines,bytes,extension,status,reviewer,notes
.claude-plugin/marketplace.json,5f078ccb7cbbc74ee5029c214a5631783ac9ecee8cf7aa8cb9235176e254b788,True,127,5981,.json,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
.github/workflows/cla.yaml,dfc94275d12e46bcaded98d8b9116a961538e711b60e44d1554a57e7dcb8a0f1,True,43,2281,.yaml,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
.gitignore,35aa9511acdbadaa457a3e2ba4c441731deda038718b07d0ea1bbfbf20aad7bf,True,7,71,,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/.claude-plugin/plugin.json,7c89f2938a259e99f8828e4e7e190f4c478ef63a6aef7ea458361d2968b60776,True,8,348,.json,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/.gitignore,5e8d118156b6eab659098855a0840d1ee60fad7964977fcbeb806bb8d95b0bd0,True,3,29,,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/.mcp.json,4d52c3b2b5d31ee2fbf753a3190ab4f03b15081ee51800ca9339112c851e5037,True,21,539,.json,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/CLAUDE.md,f276e9168247c5f96e37693b115098599f6043d317d636c85c089c297ebf3fea,True,479,45423,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/README.md,134eabcbef49f73e9f8e4bcf8d3815d16efeee03cebc6d813789ced5d0a4390f,True,146,7880,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/references/currency-watch.md,d3698887e74707aa52dfedaaa903f03e242eba91ede8b047a1b7473270600f15,True,38,3531,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/ai-inventory/SKILL.md,b128f93b3e89b8f8c6a52d375257c31a59b0ccb140495da9395a30a822446cf1,True,253,11552,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/aia-generation/SKILL.md,8401265aa4fa15eedac6840384c8d25de1985030ed4cad4c4efa765144cb95a7,True,399,26834,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/cold-start-interview/SKILL.md,1a99a5b1236bf4f95768a212d8b1f7cffa1b8cabe040eaa349341f55b7f8fa49,True,688,48154,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/customize/SKILL.md,7668accaa74de788cee5ac37382dae58a0c8002cc0eeccb2a52cd94a1f494f52,True,114,5678,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/matter-workspace/SKILL.md,ce357f0aaaf874651bfeafddcc2fce5d60297c656a14f81819be9db911a07d67,True,185,10124,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/policy-monitor/SKILL.md,2b518c01a583350b3d8a61a12c0dbd9dd92e8b0ef5fe2fa626a55605ac3b6295,True,354,15435,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/policy-starter/SKILL.md,60b9828f334dd7f6fcec57b2fb0322e9f226122ab10ab8dc90dee7efdc3cf890,True,262,16062,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/reg-gap-analysis/SKILL.md,b80fdf9d748da3165648458a04705027277422c13522cca5806e91fa453e1243,True,241,14987,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/use-case-triage/SKILL.md,11bbf1f76bf890a4ca5105ea9835d58d3adf3fd80df72bb610b27ea71be25d4f,True,320,19599,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
ai-governance-legal/skills/vendor-ai-review/SKILL.md,2eb6c0eca4959dbd5d46089b55b3486a55ff524bbb5e23416dafb706f318e5bd,True,323,21183,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
CLA.md,13955e2a05b66954f9a32f5f7b6a26966f23de63893f6729fed7e8b143718a0c,True,39,6153,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
CLAUDE.md,5797099c8a65d1318df36d996b0799a9f48e1254c0cbb908482b7e8983f26756,True,130,6165,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
CODE_OF_CONDUCT.md,d889d74f9c1b57a7610d7547c3ff6ba806496ca8813cd0035ea9288747e15cb9,True,37,1923,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/.claude-plugin/plugin.json,3acc7ca09afdc4b83e0fc6733fc67ecfe80e6e806c3f60062b6f45eee95d6975,True,8,420,.json,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/.gitignore,e48d69406979f6930a9a6135f795c482d5b78aaa99cce6b317ab40786ff41ecb,True,1,11,,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/.mcp.json,ef3c6465ee3ab648f3caa3dcf52d7709766e17c97053cb6b0bce4ef51e6d2c58,True,56,2069,.json,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/agents/deal-debrief.md,e9c97f2a8ebde9cc581fddce66b1f7af7f2901371bc40bb0d2a4b626758b17a2,True,176,8233,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/agents/playbook-monitor.md,055be0aa0d4242426b959492db1ec83b6f87dac4073179b4aa8f643e449f4cbd,True,190,9201,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/agents/renewal-watcher.md,b85c847e9ef4b2690584c5a21d1f481ed94a8053f6a66f05234f49c68544cce7,True,55,2101,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/CLAUDE.md,3ff529ac6d2ae03ae2a49dc3f0d788207ed71e22d40d926de838ca408e9d028a,True,509,44346,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/hooks/hooks.json,b56c9265773cc456d686833a5102f34eae5da1dba76a822276974d1c5f7fa4d9,True,3,21,.json,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/logs/.gitkeep,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,True,0,0,,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/README.md,a1911b191b93b9586cef028c47b5fc90ec66177beca566eb86770e78e0757adb,True,144,8707,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/skills/amendment-history/SKILL.md,6224ec1b48eaaf60ab541bf985fadbade97df4977181c1f920990c947f5813e2,True,298,11327,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/skills/cold-start-interview/SKILL.md,5d9b620471d1cb6b17eb26225b121af2dfa2a869761c1fc3855383a02c52760b,True,643,50103,.md,reviewed,semantic_coverage_b,receipt=results/semantic-coverage-receipt.jsonl
commercial-legal/skills/customize/SKILL.md,17a855a4005542b0c043f30bbc870a8e626442ea9b1edff879a3c9f56bc22952,True,101,4823,.md,reviewed,semantic_coverage_a,receipt=results/semantic-coverage-receipt.jsonl
