path,line,url
.claude-plugin/marketplace.json,2,https://anthropic.com/claude-code/marketplace.schema.json
.github/workflows/cla.yaml,32,https://github.com/${{
ai-governance-legal/.mcp.json,5,https://mcp.slack.com/mcp
ai-governance-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
ai-governance-legal/references/currency-watch.md,13,https://coag.gov
ai-governance-legal/references/currency-watch.md,14,https://www.texasattorneygeneral.gov
commercial-legal/.mcp.json,5,https://mcp.na1.ironcladapp.com/mcp
commercial-legal/.mcp.json,11,https://mcp.docusign.com/mcp
commercial-legal/.mcp.json,17,https://cloudimanage.com/mcp/work
commercial-legal/.mcp.json,23,https://api.techgc.co/api/mcp/topcounsel
commercial-legal/.mcp.json,29,https://mcp.uk.definely.com/api/proxy/core-mcp
commercial-legal/.mcp.json,35,https://mcp.slack.com/mcp
commercial-legal/.mcp.json,41,https://drivemcp.googleapis.com/mcp/v1
commercial-legal/skills/review/SKILL.md,100,https://drive.google.com/file/d/ABC123
corporate-legal/.mcp.json,5,https://mcp.slack.com/mcp
corporate-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
corporate-legal/.mcp.json,17,https://mcp.box.com/mcp
corporate-legal/.mcp.json,23,https://cloudimanage.com/mcp/work
corporate-legal/.mcp.json,29,https://api.techgc.co/api/mcp/topcounsel
corporate-legal/.mcp.json,35,https://mcp.uk.definely.com/api/proxy/core-mcp
corporate-legal/.mcp.json,41,https://api.solveintelligence.com/mcp/
employment-legal/.mcp.json,5,https://mcp.slack.com/mcp
employment-legal/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
external_plugins/cocounsel-legal/.mcp.json,5,https://legal-mcp.thomsonreuters.com/mcp
external_plugins/cocounsel-legal/README.md,45,https://legal-mcp.thomsonreuters.com/docs/connector-guide
external_plugins/cocounsel-legal/skills/deep-research/SKILL.md,130,https://www.thomsonreuters.com/en/privacy-statement.html
external_plugins/cocounsel-legal/skills/deep-research/SKILL.md,131,https://www.thomsonreuters.com/en/terms-of-use.html
external_plugins/cocounsel-legal/skills/deep-research/SKILL.md,132,https://www.thomsonreuters.com/en/policies/accessibility.html
ip-legal/.mcp.json,5,https://api.solveintelligence.com/mcp/
ip-legal/.mcp.json,11,https://mcp.courtlistener.com/
ip-legal/.mcp.json,17,https://mcp.descrybe.com/mcp
ip-legal/.mcp.json,23,https://mcp.slack.com/mcp
ip-legal/.mcp.json,29,https://drivemcp.googleapis.com/mcp/v1
ip-legal/skills/ip-clause-review/SKILL.md,37,https://docs.google.com/document/d/
ip-legal/skills/takedown/SKILL.md,155,https://www.copyright.gov/dmca-directory/`
law-student/.mcp.json,5,https://mcp.slack.com/mcp
law-student/.mcp.json,11,https://drivemcp.googleapis.com/mcp/v1
